2016-06-24|203.13
2016-06-27|199.60
2016-06-28|203.20
2016-06-29|206.66
2016-06-30|209.48
2016-07-01|209.92
2016-07-05|208.41
2016-07-06|209.66
2016-07-07|209.53
2016-07-08|212.65
2016-07-11|213.40
2016-07-12|214.95
2016-07-13|214.92
2016-07-14|216.12
2016-07-15|215.83
2016-07-18|216.41
2016-07-19|216.19
2016-07-20|217.09
2016-07-21|216.27
2016-07-22|217.24
2016-07-25|216.65
2016-07-26|216.75
2016-07-27|216.52
2016-07-28|216.77
2016-07-29|217.12
2016-08-01|216.94
2016-08-02|215.55
2016-08-03|216.18
2016-08-04|216.41
2016-08-05|218.18
2016-08-08|218.05
2016-08-09|218.18
2016-08-10|217.64
2016-08-11|218.65
2016-08-12|218.46
2016-08-15|219.09
2016-08-16|217.96
2016-08-17|218.37
2016-08-18|218.86
2016-08-19|218.54
2016-08-22|218.53
2016-08-23|218.97
2016-08-24|217.85
2016-08-25|217.70
2016-08-26|217.29
2016-08-29|218.36
2016-08-30|218.00
2016-08-31|217.38
2016-09-01|217.39
2016-09-02|218.37
2016-09-06|219.03
2016-09-07|219.01
2016-09-08|218.51
2016-09-09|213.28
2016-09-12|216.34
2016-09-13|213.23
2016-09-14|213.15
2016-09-15|215.28
2016-09-16|213.37
2016-09-19|213.41
2016-09-20|213.42
2016-09-21|215.82
2016-09-22|217.18
2016-09-23|215.99
2016-09-26|214.24
2016-09-27|215.57
2016-09-28|216.64
2016-09-29|214.68
2016-09-30|216.30
2016-10-03|215.78
2016-10-04|214.68
2016-10-05|215.63
2016-10-06|215.78
2016-10-07|215.04
2016-10-10|216.16
2016-10-11|213.43
2016-10-12|213.71
2016-10-13|213.01
2016-10-14|213.12
2016-10-17|212.38
2016-10-18|213.71
2016-10-19|214.28
2016-10-20|213.88
2016-10-21|213.98
2016-10-24|214.89
2016-10-25|214.17
2016-10-26|213.74
2016-10-27|213.17
2016-10-28|212.54
2016-10-31|212.55
2016-11-01|211.01
2016-11-02|209.74
2016-11-03|208.78
2016-11-04|208.55
2016-11-07|213.15
2016-11-08|214.11
2016-11-09|216.38
2016-11-10|216.92
2016-11-11|216.42
2016-11-14|216.59
2016-11-15|218.28
2016-11-16|217.87
2016-11-17|218.99
2016-11-18|218.50
2016-11-21|220.15
2016-11-22|220.58
2016-11-23|220.70
2016-11-25|221.52
2016-11-28|220.48
2016-11-29|220.91
2016-11-30|220.38
