2009-10-15|109.71
2009-10-16|108.89
2009-10-19|109.79
2009-10-20|109.21
2009-10-21|108.23
2009-10-22|109.33
2009-10-23|108.08
2009-10-26|106.91
2009-10-27|106.42
2009-10-28|104.41
2009-10-29|106.65
2009-10-30|103.56
2009-11-02|104.32
2009-11-03|104.65
2009-11-04|104.92
2009-11-05|106.85
2009-11-06|107.13
2009-11-09|109.57
2009-11-10|109.59
2009-11-11|110.15
2009-11-12|109.03
2009-11-13|109.62
2009-11-16|111.21
2009-11-17|111.34
2009-11-18|111.27
2009-11-19|109.82
2009-11-20|109.43
2009-11-23|110.82
2009-11-24|110.99
2009-11-25|111.38
2009-11-27|109.57
2009-11-30|109.94
2009-12-01|111.30
2009-12-02|111.25
2009-12-03|110.38
2009-12-04|111.01
2009-12-07|110.84
2009-12-08|109.61
2009-12-09|110.02
2009-12-10|110.64
2009-12-11|111.11
2009-12-14|111.87
2009-12-15|111.35
2009-12-16|111.52
2009-12-17|110.18
2009-12-18|110.21
2009-12-21|111.33
2009-12-22|111.73
2009-12-23|111.95
2009-12-24|112.48
2009-12-28|112.72
2009-12-29|112.56
2009-12-30|112.52
2009-12-31|111.44
